Year;Author;http: all links obtained on the 4th of May 2020;Page;n°;Topic;Name Recipe;Ingredient list?;# Words;# OOm (object omissions);# OvO (overt objects);Verb form;Coordination;Referent;where/ how far is the referent?;OvDet? (is there an overt determiner?);Verb;Sentence;;;
1747;Glasse;;133;1;Of Pickling.;To pickle Onions.;N;215;2;17;part;N;the onions;title of recipe, ;N;shift;Take off only the outward dry Coat, then boil them in one Water without shifting Ø, till they begin to grow tender, [...];;;
1747;Glasse;;149-150;1;"Of Made-Wines; Brewing; Baking French Bread and Muffins; Cheese, &c.";Rules for Brewing.;N;968;2;102;inf;?;your ale;previous clause/omitted clause/coor;N;keep;"If you intend your Ale to keep a great while, allow a Pound of Hops to every bushel ; if to keep Ø? six Months, five Pounds to a Hogshead; [...]";;;
1747;Glasse;;149-150;2;"Of Made-Wines; Brewing; Baking French Bread and Muffins; Cheese, &c.";Rules for Brewing.;N;968;2;102;imp;pour Ø and let it;the first copper of water;previous clause;N;pour;"The first Copper of Water, when it boils; pour Ø into your Mash-Tub, and let it be cool enough to see your Face in; [...]";;;
1747;Glasse;;133;2;Of Pickling.;To pickle Onions.;N;215;2;7;inf;N ;them/the onions;beginning of sentence;N;cool;as foon as they are quite cold, flip off two outward Coats or Skins, flip them till they look white from each other, and rub them gently with a fine soft Linnen Cloth, and lay them on a Cloth to cool Ø.;;;
1807;Rundell;;120;1;Pickles;English Bamboo, to Pickle.;N;159;4;12;Imp;put Obj and pour Ø boiling/ pour boiling Ø;this/the result;previous clause;N;pour;To a quart of vinegar put an ounce of white pepper, an ounce of sliced ginger, a little mace and pimento, and pour Ø boiling on the alder shoots, in a stonejar : ...;;;
1807;Rundell;;120;2;Pickles;English Bamboo, to Pickle.;N;159;4;12;imp;stop Ø set Ø;it, everything;previous clause: omitted object + alder shoots;N;stop;... stop Ø1 close, and set Ø by the fire for two hours ...;;;
1807;Rundell;;120;3;Pickles;English Bamboo, to Pickle.;N;159;4;12;imp;stop Ø set Ø;it, everything;previous clause: omitted object + closed factor;N;set;... stop Ø close, and set Ø2 by the fire for two hours ...;;;
1807;Rundell;;120;4;Pickles;English Bamboo, to Pickle.;N;159;4;12;inf;N;it, the mixture, the jar with pickles;previous clause combination;N;keep;... , turning the jar often, to keep Ø scalding hot.;;;
1807;Rundell;;121;1;Pickles;Melon Mangoes.;N;126;2;9;imp;N;the vinegar mixture;previous clause;N;pour;"Boil a good quantity of vinegar, to allow for wasting, with peppers, salt, ginger, and pour Ø boiling hot over the mangoes four successive days; [...]";;;
1807;Rundell;;121;2;Pickles;Melon Mangoes.;N;126;2;9;imp;N;everything? the whole;?;N;stop;Stop Ø close.;;;
